Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank,[15],17,S,5,False,True,8,8,[0.22973694],0.21643,1.49982,[0.1978],[0.174],[0.236],[0.0204978],pwc,7.458580698999867,7.1775012359994435,0.02256463000412623,0.06232716299928143,0.0200001
Water-tank,[15],22,S,6,False,True,10,10,[0.19570515],0.21334,1.54227,[0.1605],[0.133],[0.19],[0.01792345],pwc,7.616701840001042,7.364306143999784,0.02767593699536519,0.06996426899968355,0.0140001
Water-tank,[15],24,S,6,False,True,10,10,[0.23396757],0.20799,1.46535,[0.16666667],[0.079],[0.205],[0.04770977],pwc,7.730012721000094,7.45197003300018,0.02993785100079549,0.06842849600070622,0.0210001
Water-tank,[15],28,S,5,False,True,8,8,[0.2128423],0.21177,1.52963,[0.1808],[0.171],[0.196],[0.00823165],pwc,7.85059767599887,7.6169666049991065,0.020103825010664877,0.07148364000022411,0.00700001
Water-tank,[15],35,S,5,False,True,8,8,[0.2260524],0.21569,1.49101,[0.1612],[0.064],[0.201],[0.0498574],pwc,7.886523526000019,7.674474195000585,0.026782363003803766,0.06341239799985487,0.0110001
Water-tank,[15],36,S,6,False,True,10,10,[0.15555993],0.22206,1.65269,[0.12933333],[0.117],[0.15],[0.01046688],pwc,8.057432656998571,7.777830671999254,0.025576683003237122,0.09311728000102448,0.0120001
Non-Lipschitz1,[20],1,S,16,False,True,84,84,[0.48655257 0.48536882],0.02999,0.17078,[0.32078454 0.29033555],[0.137 0.107],[0.48655257 0.48536882],[0.09915389 0.10986161],pwc,14.556426509998346,12.935768537998229,0.24577575899820658,0.3617865019987221,0.438001
Non-Lipschitz1,[20],7,S,32,False,True,188,188,[0.60067758 0.58607213],0.04662,0.28144,[0.37911595 0.33322777],[0.069 0.049],[0.60067758 0.58607213],[0.16540276 0.15446636],pwc,16.433655477001594,13.688719841999045,0.5577104210060497,0.5248996009995608,0.678001
Non-Lipschitz1,[20],8,S,22,False,True,108,108,[0.59644438 0.59650049],0.05199,0.26759,[0.41574242 0.44379552],[0.1   0.127],[0.59644438 0.59650049],[0.13367703 0.14477385],pwc,14.323129084999891,13.118165593999947,0.19205422000777617,0.3598194299993338,0.174001
Non-Lipschitz1,[20],13,S,24,False,True,130,130,[0.737895   0.73392265],0.09355,0.43916,[0.48024562 0.45274678],[0.199 0.096],[0.737895   0.73392265],[0.15677032 0.18470844],pwc,14.575666605000151,13.119228407000264,0.2945023950032919,0.35806458899969584,0.162001
Non-Lipschitz1,[20],17,S,14,False,True,62,62,[0.61594814 0.61580561],0.06466,0.26312,[0.33907143 0.46942857],[0.109 0.311],[0.548 0.56 ],[0.14675172 0.07569083],pwc,15.474226349999299,13.837176203000126,0.21274489099778293,0.26983437800117827,0.667001
Non-Lipschitz1,[20],20,S,32,False,True,194,194,[0.56639574 0.56632515],0.04612,0.25494,[0.34323112 0.32260391],[0.055 0.055],[0.56639574 0.56632515],[0.13617314 0.14415032],pwc,15.897491611000078,13.525107688999924,0.5355518540145567,0.5122316160013725,0.305001
Non-Lipschitz1,[20],26,S,14,False,True,68,68,[0.6262368  0.62611133],0.05684,0.30538,[0.4926936  0.47609528],[0.177 0.218],[0.6262368  0.62611133],[0.11856548 0.13424474],pwc,17.327013250000164,15.614063236998845,0.19622771899776126,0.303568102999634,0.662001
Non-Lipschitz1,[20],30,S,44,False,True,278,278,[0.54091383 0.55199627],0.03834,0.21804,[0.32514538 0.34561304],[0.046 0.058],[0.54091383 0.55199627],[0.14772099 0.13334845],pwc,23.02630593199865,15.647653456999251,0.8897327730101097,0.8099775350001437,3.21701
Non-Lipschitz1,[20],34,S,45,False,True,286,286,[0.73201165 0.73483065],0.07003,0.4876,[0.41024651 0.44383656],[0.088 0.112],[0.73201165 0.73483065],[0.21271391 0.19165539],pwc,20.80255608399966,16.914078546000383,0.9501757060115779,0.741721727001277,0.576001
Non-Lipschitz1,[20],39,S,22,False,True,120,120,[0.57321444 0.57301857],0.04995,0.24254,[0.45042859 0.39222896],[0.287 0.155],[0.57321444 0.57301857],[0.07917832 0.12210415],pwc,17.83370218699929,15.834910385001422,0.35547009500078275,0.4353045360003307,0.504001
Non-Lipschitz2,[24],0,S,94,False,True,636,636,[0.79042345 0.79082116],0.0712,0.51246,[0.50169936 0.47006263],[0.076 0.022],[0.79042345 0.79082116],[0.21690309 0.24296475],pwc,31.854788593000194,11.253881859000103,1.607405712007676,1.114362746999177,13.5091
Non-Lipschitz2,[24],5,S,68,False,True,440,440,[0.82389429 0.82361251],0.09689,0.60023,[0.50229483 0.48394871],[0.145 0.026],[0.82389429 0.841     ],[0.19319095 0.22747462],pwc,31.0350104070003,13.502145705000657,1.274139416991602,1.191562595000505,10.9731
Non-Lipschitz2,[24],9,S,73,False,True,474,474,[1.0603486  1.03817225],0.15648,0.91186,[0.65606208 0.5658115 ],[0.155 0.067],[1.07       1.03817225],[0.29382203 0.29859469],pwc,30.368072134999238,12.687143033999746,1.340981200004535,1.4710796880008274,11.1171
Non-Lipschitz2,[24],15,S,91,False,True,612,612,[1.04825974 1.04826324],0.12718,0.78579,[0.62714785 0.59555525],[0.129 0.046],[1.04825974 1.04826324],[0.29526609 0.34091584],pwc,36.72130164099872,12.988144037000893,1.8618933459983964,1.650007292000737,14.2261
