Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank-4d,[12],13,S,9,False,True,22,22,[0.2 0.2 0.2 0.2],,,[0.135      0.05666667 0.05866667 0.05411111],[0.017 0.006 0.011 0.005],[0.2 0.2 0.2 0.2],[0.0795152  0.07780603 0.07601316 0.07817707],pwa,15.770889389999866,6.483647048000421,8.56002133399943,0.1340253019998272,0.108001
Water-tank-4d,[12],17,S,11,False,True,38,38,[0.2 0.2 0.2 0.2],,,[0.13272727 0.09790909 0.09672727 0.09663636],[0.012 0.005 0.006 0.005],[0.2 0.2 0.2 0.2],[0.08551458 0.09355645 0.09435724 0.09440269],pwa,15.516853852000168,7.475312082000528,7.206730012000662,0.136450490000243,0.171001
Water-tank-4d,[12],23,S,6,False,True,10,10,[0.2 0.2 0.2 0.2],,,[0.16733333 0.135      0.135      0.135     ],[0.025 0.005 0.005 0.005],[0.2 0.2 0.2 0.2],[0.06411361 0.09192388 0.09192388 0.09192388],pwa,9.428297655000279,6.3728878919991985,2.564855657001317,0.09187693599960767,0.114001
Water-tank-4d,[12],26,S,4,False,True,6,6,[0.2 0.2 0.2 0.2],,,[0.153  0.104  0.1025 0.104 ],[0.025 0.008 0.005 0.008],[0.2 0.2 0.2 0.2],[0.07409116 0.096      0.0975     0.096     ],pwa,23.593844306999927,19.751856525999756,3.195165574999919,0.14268202999937785,0.157001
Water-tank-4d,[12],28,S,6,False,True,16,16,[0.2 0.2 0.2 0.2],,,[0.178      0.103      0.10483333 0.1025    ],[0.048 0.005 0.005 0.005],[0.22 0.2  0.2  0.2 ],[0.05859465 0.09700515 0.09528102 0.0975    ],pwa,33.81055652099985,21.94451720000052,11.227162442000008,0.08281018599973322,0.127001
Water-tank-4d,[12],32,S,5,False,True,14,14,[0.2 0.2 0.2 0.2],,,[0.1598 0.122  0.122  0.122 ],[0.02  0.005 0.005 0.005],[0.2 0.2 0.2 0.2],[0.07037159 0.0955301  0.0955301  0.0955301 ],pwa,21.68211577599959,19.101460211999438,2.0702920119992996,0.09238472400011233,0.152001
Water-tank-4d,[12],39,S,11,False,True,38,38,[0.2 0.2 0.2 0.2],,,[0.14727273 0.11381818 0.11327273 0.11272727],[0.015 0.005 0.005 0.005],[0.2 0.2 0.2 0.2],[0.07532003 0.09468783 0.09504553 0.09561389],pwa,17.14441234199967,10.390832864000004,6.018497668001146,0.1387016879998555,0.140001
Water-tank-4d,[7],3,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,124.71056262099955,44.28039973399973,29.203815658000167,0,30.113325
Water-tank-4d,[7],7,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,121.20019359700018,44.4337031440009,26.805927684999915,0,29.8605
Water-tank-4d,[7],9,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,126.89776638100011,44.72200868100117,30.277812488000563,0,30.919395
Water-tank-4d,[7],13,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,193.99276061800083,45.45068740900206,98.22267769700193,0,29.585342
Water-tank-4d,[7],17,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,128.67634587800057,51.53525617299965,27.6763248999996,0,29.691709
Water-tank-4d,[7],20,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,339.0680953409992,42.6742119790033,245.52448677200118,0,29.604015
Water-tank-4d,[7],25,S,1,False,False,0,0,[0.125 0.075 0.075 0.075],,,[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],[0.125 0.075 0.075 0.075],0,sig,132.14770096400025,48.36493907000113,32.53183512900068,0,29.971872
